ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|781724199|9|93938|7762768|93938|8138520|compute|1599719219059|1599719219065
0|781724199|8|93938|8138520|93933|8138110|compute|1599719219065|1599719219106
0|781724199|7|93933|8138110|93933|7386646|compute|1599719219106|1599719219110
0|781724199|5|187877|168167331|93933|168146610|compute|1599719219113|1599719219163
0|781724199|4|93933|168146610|93933|160759964|compute|1599719219163|1599719219228
0|781724199|3|93933|160759964|93933|160759964|compute|1599719219228|1599719219281
0|781724199|0|93933|160759964|10|14621|compute|1599719219337|1599719219347
0|1343118218|6|93944|160780685|93944|160780685|compute|1599721294139|1599721294139
0|1343118218|11|93944|7387460|93944|7387460|compute|1599721294144|1599721294144
0|1343118218|10|93944|7387460|93938|7762768|compute|1599721294192|1599721294197
0|1343118218|9|93938|7762768|93938|8138520|compute|1599721294197|1599721294231
0|1343118218|8|93938|8138520|93933|8138110|compute|1599721294231|1599721294243
0|1343118218|7|93933|8138110|93933|7386646|compute|1599721294243|1599721294247
0|1343118218|5|187877|168167331|93933|168146610|compute|1599721294249|1599721294298
0|1343118218|4|93933|168146610|93933|160759964|compute|1599721294298|1599721294363
0|1343118218|3|93933|160759964|93933|160759964|compute|1599721294364|1599721294414
0|797871663|4|93933|9157455|93933|9157455|compute|1599721315508|1599721315508
0|797871663|3|93933|9157455|92718|9453788|compute|1599721315510|1599721315513
0|797871663|2|92718|9453788|92718|9824660|compute|1599721315513|1599721315517
0|797871663|1|92718|9824660|944|74832|compute|1599721315517|1599721315522
0|797871663|0|944|74832|944|67280|compute|1599721315522|1599721315523
0|138020993|6|93933|160759964|93933|160759964|compute|1599721375100|1599721375100
0|138020993|11|93933|9157455|93933|9157455|compute|1599721375100|1599721375100
0|138020993|10|93933|9157455|92718|9453788|compute|1599721375138|1599721375142
0|138020993|9|92718|9453788|92718|9824660|compute|1599721375144|1599721375150
0|138020993|8|92718|9824660|944|74832|compute|1599721375150|1599721375191
0|138020993|7|944|74832|944|67280|compute|1599721375191|1599721375193
0|138020993|5|94877|160827244|2159|3260691|compute|1599721375198|1599721375258
0|138020993|4|2159|3260691|2159|3119000|compute|1599721375258|1599721375286
0|138020993|3|2159|3119000|2159|3119000|compute|1599721375286|1599721375295
0|451106506|11|93933|9157455|93933|9157455|compute|1599721418974|1599721418974
0|451106506|6|93933|126141277|93933|126141277|compute|1599721418974|1599721418974
0|451106506|10|93933|9157455|92718|9453788|compute|1599721419024|1599721419062
0|451106506|9|92718|9453788|92718|9824660|compute|1599721419062|1599721419067
0|451106506|8|92718|9824660|944|74832|compute|1599721419067|1599721419071
0|451106506|7|944|74832|944|67280|compute|1599721419071|1599721419072
0|451106506|5|94877|126208557|2159|2530779|compute|1599721419073|1599721419119
0|451106506|4|2159|2530779|2159|2389088|compute|1599721419119|1599721419130
0|451106506|3|2159|2389088|2159|2389088|compute|1599721419130|1599721419137
0|1814400877|6|93933|126141277|93933|126141277|compute|1599721441703|1599721441703
0|1814400877|11|93933|9157455|93933|9157455|compute|1599721441703|1599721441704
0|1814400877|10|93933|9157455|92718|9453788|compute|1599721441742|1599721441779
0|1814400877|9|92718|9453788|92718|9824660|compute|1599721441779|1599721441784
0|1814400877|8|92718|9824660|944|74832|compute|1599721441784|1599721441788
0|1814400877|7|944|74832|944|67280|compute|1599721441789|1599721441790
0|1814400877|5|94877|126208557|2159|2530779|compute|1599721441791|1599721441835
0|1814400877|4|2159|2530779|2159|2389088|compute|1599721441836|1599721441847
0|1814400877|3|2159|2389088|2159|2389088|compute|1599721441847|1599721441853
0|1746525827|11|93933|9157455|93933|9157455|compute|1599721470985|1599721470985
0|1746525827|6|93933|133527923|93933|133527923|compute|1599721470985|1599721470985
0|1746525827|10|93933|9157455|92718|9453788|compute|1599721471031|1599721471066
0|1746525827|9|92718|9453788|92718|9824660|compute|1599721471067|1599721471077
0|1746525827|8|92718|9824660|944|74832|compute|1599721471077|1599721471081
0|1746525827|7|944|74832|944|67280|compute|1599721471081|1599721471082
